2.48929e-011	-7.44151e-011	-4997.79	-93.9866	4997.79	93.9866	93.9866	-4997.79	-93.9866	4997.79	
2.53434e-011	-7.68042e-011	-4997.69	-95.9857	4997.69	95.9857	95.9857	-4997.69	-95.9857	4997.69	
2.59117e-011	-7.92776e-011	-4997.6	-97.9848	4997.6	97.9848	97.9848	-4997.6	-97.9848	4997.6	
2.66451e-011	-8.1674e-011	-4997.5	-99.9838	4997.5	99.9838	99.9838	-4997.5	-99.9838	4997.5	
2.75432e-011	-8.41074e-011	-4997.4	-101.983	4997.4	101.983	101.983	-4997.4	-101.983	4997.4	
2.86112e-011	-8.64584e-011	-4997.29	-103.982	4997.29	103.982	103.982	-4997.29	-103.982	4997.29	
2.98077e-011	-8.85414e-011	-4997.19	-105.981	4997.19	105.981	105.981	-4997.19	-105.981	4997.19	
3.11582e-011	-9.0446e-011	-4997.08	-107.98	4997.08	107.98	107.98	-4997.08	-107.98	4997.08	
3.26093e-011	-9.23398e-011	-4996.97	-109.978	4996.97	109.978	109.978	-4996.97	-109.978	4996.97	
3.41429e-011	-9.42409e-011	-4996.86	-111.977	4996.86	111.977	111.977	-4996.86	-111.977	4996.86	
3.56099e-011	-9.61319e-011	-4996.75	-113.976	4996.75	113.976	113.976	-4996.75	-113.976	4996.75	
3.69799e-011	-9.80434e-011	-4996.63	-115.975	4996.63	115.975	115.975	-4996.63	-115.975	4996.63	
3.84255e-011	-9.99704e-011	-4996.51	-117.973	4996.51	117.973	117.973	-4996.51	-117.973	4996.51	
3.99027e-011	-1.01843e-010	-4996.4	-119.972	4996.4	119.972	119.972	-4996.4	-119.972	4996.4	
4.12368e-011	-1.03554e-010	-4996.27	-121.97	4996.27	121.97	121.97	-4996.27	-121.97	4996.27	
4.24571e-011	-1.05305e-010	-4996.15	-123.969	4996.15	123.969	123.969	-4996.15	-123.969	4996.15	
4.35401e-011	-1.07229e-010	-4996.03	-125.967	4996.03	125.967	125.967	-4996.03	-125.967	4996.03	
4.44971e-011	-1.09199e-010	-4995.9	-127.966	4995.9	127.966	127.966	-4995.9	-127.966	4995.9	
4.55751e-011	-1.11022e-010	-4995.77	-129.964	4995.77	129.964	129.964	-4995.77	-129.964	4995.77	
4.66091e-011	-1.12698e-010	-4995.64	-131.962	4995.64	131.962	131.962	-4995.64	-131.962	4995.64	
4.73536e-011	-1.1419e-010	-4995.5	-133.961	4995.5	133.961	133.961	-4995.5	-133.961	4995.5	
